Latitude,Longitude,Occurrence Status
-33.121788,150.320746,0.0
-36.592011,148.172262,0.0
-35.4551,146.693465,0.0
-33.076261,149.547177,0.0
-35.529729,146.627272,0.0
-32.561371,148.403505,0.0
-37.549163,147.815707,0.0
-36.427744,143.553059,0.0
-37.222868,149.594181,0.0
-36.914472,144.337251,0.0
-32.611956,147.212626,0.0
-34.532058,150.218102,0.0
-36.369848,146.078293,0.0
-34.086475,151.07305,1.0
-37.891455,144.758571,0.0
-38.359007,144.24904,0.0
-36.160055,142.914632,0.0
-37.891653,143.363239,0.0
-33.298273,150.123403,0.0
-34.947021,149.258215,0.0
-36.82949,141.007382,0.0
-38.180041,146.147156,1.0
-35.02057,150.495851,1.0
-36.786818,142.662296,0.0
-36.579393,141.123254,0.0
-36.84805,145.50302,0.0
-38.170314,144.510612,0.0
-34.8393,150.512,1.0
-34.376826,150.885466,1.0
-33.5308,150.654,0.0
-37.854069,144.03061,0.0
-33.6902,150.543,0.0
-36.055325,146.980923,0.0
-36.38836,141.511165,0.0
-33.963274,151.045537,0.0
-38.1779,144.459,0.0
-33.186924,147.72652,0.0
-35.54035,142.475661,0.0
-37.421729,143.896228,1.0
-38.256592,144.549677,0.0
-33.432768,146.331268,0.0
-35.1973,148.2,0.0
-35.141688,150.159464,1.0
-32.793794,149.449179,0.0
-33.707261,150.908509,0.0
-38.522988,142.732201,1.0
-38.388185,143.622355,0.0
-37.423947,143.896742,1.0
-33.122449,150.322622,0.0
-38.3566,144.982,1.0
-35.946534,148.629347,0.0
-35.648,150.294,0.0
-38.149189,145.931192,1.0
-37.409849,144.623319,0.0
-38.583446,146.263592,0.0
-34.038461,150.413638,0.0
-32.538821,148.625312,0.0
-37.807592,145.263583,1.0
-37.5864,143.699,0.0
-34.287753,146.439733,0.0
-35.278056,149.109571,0.0
-37.6645,145.182,0.0
-37.430558,144.850904,0.0
-35.074999,150.402355,1.0
-37.278688,145.190827,0.0
-37.891794,143.36323,0.0
-34.607508,144.776166,0.0
-32.1694,148.586,0.0
-33.4709,150.171,0.0
-37.873,147.579,0.0
-34.534976,145.508442,0.0
-34.825677,149.825126,0.0
-35.559765,142.081194,0.0
-35.39039,148.92277,0.0
-36.557704,146.078031,0.0
-34.291116,149.736521,0.0
-34.685437,144.051874,0.0
-37.732611,144.05537,0.0
-37.879397,145.573943,0.0
-36.521569,141.474971,0.0
-37.640145,140.831962,1.0
-36.823254,144.348285,0.0
-38.367486,144.251581,0.0
-37.7884,145.044,0.0
-35.9998,146.377,0.0
-33.766661,150.974445,0.0
-34.060428,151.079616,1.0
-37.166995,149.586853,0.0
-37.340118,144.160279,0.0
-35.016822,142.849841,0.0
-34.747725,150.813178,1.0
-33.712755,150.602852,0.0
-37.344406,144.15575,0.0
-37.6394,145.187,0.0
-37.630888,145.757646,0.0
-37.05042,144.1823,0.0
-36.366181,146.699669,1.0
-36.573965,149.406564,0.0
-37.809554,145.637306,0.0
-37.281916,148.272642,0.0
-34.808267,148.894866,0.0
-33.590642,147.088547,0.0
-36.230584,150.094249,0.0
-33.526344,150.705264,0.0
-33.949117,149.405723,0.0
-33.004767,145.771532,0.0
-31.603757,148.729175,0.0
-37.670687,143.954784,1.0
-34.033844,151.166512,1.0
-33.526911,146.988888,0.0
-36.267033,146.276071,0.0
-36.0247,146.99,0.0
-33.232728,146.196813,0.0
-37.891591,143.363319,0.0
-33.514607,144.983971,0.0
-36.963607,147.405984,1.0
-33.5168,149.355,0.0
-37.5027,145.171,1.0
